state,MainTarget,MainTargetLoss,value,M1,M1_complaints,M2,M2_complaints,M3,M3_complaints,M4,M4_complaints,M5,M5_complaints,M6,M6_complaints,F1,F1_complaints,F2,F2_complaints,F3,F3_complaints,F4,F4_complaints,F5,F5_complaints,F6,F6_complaints,Population
Alabama,F6,812561.68,5093049,11506,45,381643,319,468486,333,324374,349,879890,337,400647,342,59221,63,238180,374,412027,428,496647,409,607867,390,812562,270,4817484
Alaska,M3,525063.44,1665603,2585,10,47264,79,525063,70,28049,77,377253,785,32578,73,5871,4,94549,64,36978,77,166887,92,266258,103,82268,108,731081
Arizona,F6,3072438.57,11484212,22911,75,380501,437,596848,515,798876,548,1203750,628,2749305,867,60454,85,434317,481,436225,555,718633,636,1009955,656,3072439,507,6556236
Arkansas,M5,1152951.42,3564474,12469,33,168025,175,212878,164,570848,170,1152951,174,357081,235,17166,31,134579,189,297923,207,181819,223,211577,180,247158,137,2949300
California,M5,10073514.21,68120064,461707,515,3381510,2578,6492948,3137,7661329,3122,10073514,3446,9095182,3285,282480,457,1991290,2907,4614086,2816,7759465,3255,8313675,3598,7992879,2664,38062780
Colorado,F6,1501544.04,8358573,55267,71,340853,436,508818,527,953069,585,1273743,613,1208574,575,66289,70,316025,495,339997,529,908391,610,886003,614,1501544,428,5191709
Connecticut,F5,810199.17,4106122,22918,45,264823,219,322933,225,354168,263,488058,290,399902,279,20140,32,102857,243,340676,215,377523,291,810199,289,601925,183,3594362
Delaware,F5,711729.96,1849421,36545,12,50605,60,153112,49,117612,78,35367,76,221686,81,3117,9,27078,52,107027,67,180340,78,711730,85,205202,73,916881
District of Columbia,F5,125700.08,765479,1807,4,49034,86,83558,93,97791,76,86437,56,89350,44,3058,10,62997,93,66906,93,51434,66,125700,67,47406,45,635040
Florida,M6,5361751.74,34419348,188437,271,2185424,1318,2742215,1570,4886241,2103,3650479,1914,5361752,2385,221105,240,1045626,1542,2279272,1954,3810114,2059,3618464,2019,4430220,1528,19355257
Georgia,F6,1672442.48,12150521,49642,105,779679,478,1368918,636,1409862,627,1562880,594,1381052,440,47723,101,427714,669,740198,752,1046528,763,1663883,657,1672442,353,9919000
Hawaii,M5,598442.44,2301640,1168,10,56005,84,51438,101,183050,127,598442,198,304407,138,16022,10,307173,79,128501,86,96789,103,229575,117,329068,82,1392766
Idaho,F4,905064.19,2096452,5075,18,59180,109,38528,93,92929,115,198216,128,285485,136,181,11,25895,89,47555,128,905064,128,348677,113,89667,105,1595590
Illinois,F5,3378401.39,14316108,91121,166,553140,714,1266640,737,1679939,756,2053685,828,1146331,567,34925,91,336609,801,570476,776,2003044,904,3378401,1528,1201795,429,12873763
Indiana,M6,1170062.93,7031361,64234,63,221049,360,557189,408,910773,465,936427,461,1170063,397,19842,51,305790,444,471397,499,813361,544,758430,500,802804,234,6537632
Iowa,F5,633684.41,3288726,11167,29,129167,157,180926,147,373089,165,433500,155,287102,199,8604,22,116366,160,276953,215,452017,205,633684,211,386152,117,3075935
Kansas,F4,571729.74,3370320,23422,38,151447,186,189790,188,300016,189,516538,232,545331,193,6566,27,148119,188,65767,191,571730,202,324051,200,527544,169,2885966
