state,MainTarget,MainTargetLoss,value,M1,M1_complaints,M2,M2_complaints,M3,M3_complaints,M4,M4_complaints,M5,M5_complaints,M6,M6_complaints,F1,F1_complaints,F2,F2_complaints,F3,F3_complaints,F4,F4_complaints,F5,F5_complaints,F6,F6_complaints,Population,total_complaints
Alabama,F5,1152992,5529073,35564,81,272382,223,289594,271,726951,262,731892,284,470169,285,17595,55,230697,286,584973,399,452739,373,1152992,368,563623,315,4849377,3202
Alaska,M5,332660,1273764,8185,11,86668,68,47753,49,38841,69,332660,1717,135406,78,1978,13,50123,61,61674,72,201519,82,218309,89,90648,70,736732,2379
Arizona,F4,7681313,25399954,46726,102,259442,375,5100188,656,645739,458,2528541,521,3175590,740,48192,76,431912,420,596459,479,7681313,546,2212261,554,2673589,1113,6731484,6040
Arkansas,F5,976978,3972610,14248,22,75887,113,247008,631,488434,130,304594,178,352001,144,6882,22,61685,147,596177,181,203503,163,976978,174,645213,148,2966369,2053
California,M6,20807407,131363796,403637,558,4057597,2926,10013116,3364,20807407,3394,18588624,3096,19105110,2973,358173,511,2921018,2781,16430614,2760,10360894,3110,17972741,3007,10344865,2443,38802500,30923
Colorado,M6,2251387,11487488,43022,69,360271,404,783921,471,1666243,479,1178691,493,2251387,555,35034,68,237770,420,585068,505,1350713,527,1954414,539,1040955,423,5355866,4953
Connecticut,F4,4302952,11478793,30411,46,172502,190,388212,221,912751,236,861265,257,2277767,270,9663,22,140928,152,147032,180,4302952,268,829695,265,1405616,188,3596677,2295
Delaware,F5,747698,2434469,2777,10,133029,60,560852,75,138261,52,67247,77,159106,106,2728,7,59794,54,40904,69,324675,97,747698,102,197398,93,935614,802
District of Columbia,F5,431626,1551758,11799,8,46732,93,153258,108,251309,76,76929,55,41677,44,2348,8,33602,128,58895,107,218994,83,431626,57,224589,39,658893,806
Florida,M5,10453426,52544107,158423,309,2113374,1350,4338063,1670,5351936,1939,10453426,1872,7571856,2226,168543,280,1304428,1381,2476683,1674,5000588,1996,6527154,2049,7088634,1891,19893297,18637
Georgia,M5,5115877,15847730,60589,128,385003,509,1085619,552,1503776,552,5115877,495,1968680,434,63908,88,506992,602,704029,630,1242048,691,1255393,581,1955817,444,10097343,5706
Hawaii,F5,1082605,2497141,1528,10,37199,70,270657,116,184883,87,172481,147,257960,194,5786,14,47141,58,60214,69,59193,78,1082605,94,317494,83,1419561,1020
Idaho,M6,987468,3380639,1716,12,168971,86,730147,112,111147,98,258507,125,987468,114,6678,16,35171,73,64785,93,215387,108,125746,114,674586,106,1634464,1057
Illinois,M6,4004979,20685294,73348,165,1333737,708,2245024,899,3185184,833,3226965,721,4004979,715,61438,101,427959,733,596447,736,1869255,847,2497270,802,1163688,486,12880580,7746
Indiana,F6,1303647,6264190,46557,89,247627,302,341302,389,498064,348,672307,373,625882,369,19647,45,232522,444,410458,431,588490,518,1277746,468,1303647,326,6596855,4102
Iowa,F6,835696,2687857,31399,39,68403,145,128582,141,255178,123,307656,144,176752,117,7640,15,62067,117,366871,167,200499,145,247117,163,835696,138,3107126,1454
Kansas,M6,1659235,4378440,18960,20,93300,153,154945,166,303679,159,592874,161,1659235,176,25842,27,71248,137,261244,147,213818,169,338765,207,644531,166,2904021,1688
Kentucky,F5,922694,5342414,17748,45,126727,182,712291,236,609406,225,890152,208,511225,230,18223,37,280794,249,194682,249,211667,251,922694,242,846805,192,4413457,2346
Louisiana,M4,1624113,5868218,29311,42,227101,189,414278,246,1624113,191,686283,213,786213,207,24514,40,398725,259,308094,276,492460,273,415933,247,461192,199,4649676,2382
Maine,M5,188756,843184,11165,17,31502,62,61866,42,110940,71,188756,77,132980,84,4456,7,31410,57,33466,72,77507,83,31684,93,127451,61,1330089,726
Maryland,M5,1618386,9009877,108496,99,431400,398,930039,488,878925,506,1618386,663,1207063,583,37824,74,418823,444,692312,597,923931,631,974089,666,788590,528,5976407,5677
Massachusetts,M5,4577579,12309742,58334,98,393517,341,627602,371,987629,379,4577579,404,1165163,704,127873,61,290181,367,630947,330,1703301,392,1366014,439,381600,296,6745408,4182
Michigan,F4,1971230,12407668,78814,116,656168,491,1715863,513,1596830,587,1024647,555,1230000,571,52921,78,234637,458,876113,520,1971230,608,1341327,634,1629118,502,9909877,5633
Minnesota,M6,3041252,9441547,66663,59,403054,239,602184,325,1033699,252,1075891,303,3041252,295,28099,49,133531,253,389010,281,1118188,286,674631,299,875345,235,5457173,2876
